,PERMNO,from,thru
0,35211,1983-03-10,1998-12-30
341,26825,1961-04-26,2023-12-29
340,18374,1958-01-02,1999-12-01
339,10364,1925-12-31,1999-10-26
338,64020,1985-05-16,1996-12-31
337,46877,1975-06-12,2018-01-02
336,24109,1951-09-06,2023-12-29
335,25320,1957-03-01,2023-12-29
334,40838,1981-09-10,2001-06-27
333,56223,1974-10-17,2006-11-09
332,60839,1988-04-14,1992-04-22
331,70519,1988-05-26,2023-12-29
330,14322,1925-12-31,2005-03-24
329,48274,1989-08-03,2011-12-12
328,59467,1976-10-21,1993-06-30
327,90721,1986-01-23,1995-05-26
326,43916,1975-10-16,1998-06-11
325,24766,1985-06-13,2023-12-29
324,44601,1987-12-24,2023-12-29
323,32205,1987-08-06,1998-07-15
322,20124,1957-03-01,2003-03-28
321,11308,1957-03-01,2023-12-29
320,13821,1940-04-15,2007-02-21
319,29196,1989-01-05,1997-08-06
318,47896,1976-07-01,2023-12-29
317,27959,1976-07-01,2023-12-29
316,48506,1979-12-27,2023-12-29
315,65883,1983-12-01,2007-01-03
342,46850,1976-07-01,2000-12-13
314,40635,1965-12-16,1995-01-31
343,11703,1957-03-01,2017-08-31
345,68591,1989-12-01,2017-01-04
372,21004,1957-03-01,2000-06-30
371,47159,1988-11-10,2004-03-31
370,66122,1983-12-01,2000-07-05
369,56266,1973-05-31,1998-09-30
368,41355,1985-11-07,2023-12-29
367,36978,1982-10-07,1998-11-17
366,25910,1960-12-28,1994-06-30
365,23026,1957-07-10,2023-12-29
364,59483,1976-07-01,1996-10-31
363,18112,1957-03-01,2000-01-28
362,66114,1986-12-18,2007-12-28
361,33814,1969-01-09,1997-10-22
360,27887,1972-09-14,2023-12-29
359,66093,1983-12-01,2023-12-29
358,71889,1988-12-08,1990-08-31
357,16571,1957-03-01,1994-12-20
356,17478,1957-03-01,2023-12-29
355,61399,1984-03-01,2023-12-29
354,52038,1986-12-18,2023-12-29
353,28353,1963-12-05,2001-12-12
352,10161,1957-03-01,1993-11-12
351,49744,1970-04-23,2001-07-06
350,22752,1957-03-01,2023-12-29
349,14795,1964-02-20,2001-08-06
348,21792,1985-07-25,2023-12-29
347,14323,1984-11-23,2006-09-29
346,57568,1984-10-04,2023-12-29
344,39538,1982-03-11,2019-06-06
313,39917,1963-12-05,2023-12-29
312,12749,1957-03-01,2002-01-16
311,11607,1957-03-01,2006-03-02
278,62164,1985-05-09,1996-03-27
277,20394,1973-03-01,1996-09-30
276,22023,1957-03-01,1992-07-02
275,15368,1950-07-03,2000-05-04
274,20626,1954-04-20,2017-08-31
273,22779,1957-03-01,2023-12-29
272,19254,1957-03-01,1998-09-30
271,27983,1963-09-05,2021-03-19
270,26884,1986-05-08,1999-03-24
269,19916,1957-03-01,2000-12-08
268,14277,1965-03-04,2023-12-29
267,42550,1987-02-26,1994-03-10
266,18542,1957-03-01,2023-12-29
265,12511,1975-02-06,2000-10-17
264,16600,1957-03-01,2023-12-29
263,23851,1957-03-01,2000-06-15
262,50905,1989-10-26,1998-03-31
261,24221,1957-03-01,2012-03-13
260,61583,1986-05-08,2000-11-22
259,38893,1985-05-23,2001-01-29
258,60046,1986-10-23,1997-09-12
257,23077,1957-03-01,2013-06-06
256,49154,1976-12-09,2023-12-29
255,25056,1957-03-01,1997-08-05
254,22753,1987-02-12,1998-04-07
253,23915,1964-02-20,2005-12-19
252,10874,1973-03-01,2008-06-20
279,42534,1986-05-08,2016-09-02
280,17961,1968-04-04,2001-04-02
281,38914,1969-05-22,2001-03-30
282,21178,1984-07-19,2023-12-29
310,14593,1982-11-18,2023-12-29
309,41718,1976-07-01,1996-03-29
308,21397,1970-04-23,2000-06-16
307,47300,1976-07-01,1993-12-30
306,36469,1989-02-09,2008-12-31
305,43449,1970-06-25,2023-12-29
304,25419,1959-04-01,2023-12-29
303,50876,1970-11-19,2023-12-29
302,19692,1957-03-01,2000-11-16
301,27596,1968-01-18,1997-11-26
300,52695,1981-05-14,2023-12-29
299,64064,1985-09-12,1993-10-21
298,30330,1966-10-06,1996-02-09
373,56573,1986-02-13,2023-12-29
297,48514,1988-02-11,2000-06-28
295,25371,1957-03-01,1996-03-12
294,60097,1986-10-23,2023-12-29
293,46674,1973-11-15,2023-12-29
292,15560,1973-03-01,2011-06-30
291,15747,1972-01-20,1993-07-12
290,47271,1987-12-10,1997-12-23
289,65138,1988-04-28,2004-06-30
288,74617,1984-03-01,1997-08-29
287,11340,1925-12-31,2000-11-01
286,38156,1975-02-06,2023-12-29
285,17750,1957-03-01,2023-12-29
284,46658,1976-07-01,1995-05-09
283,24563,1957-03-01,2007-10-09
296,45970,1982-03-11,1995-12-19
375,59184,1976-07-01,2008-11-18
376,19166,1964-02-20,2001-12-31
377,21514,1957-03-01,1999-10-25
467,57665,1988-11-03,2023-12-29
466,10057,1957-03-01,1992-07-02
465,57592,1981-06-25,1999-10-12
464,47490,1984-11-23,2000-12-11
463,40125,1981-05-14,2015-11-30
462,59010,1986-08-21,2022-02-02
461,12888,1941-08-20,1990-12-11
460,48565,1974-06-20,1991-04-16
459,70578,1989-01-12,2023-12-29
458,21573,1925-12-31,2023-12-29
457,21936,1957-03-01,2023-12-29
456,24539,1957-03-01,2001-08-02
455,32707,1988-02-11,1999-12-30
454,23819,1957-03-01,2023-12-29
453,25646,1988-02-11,1994-09-26
452,36468,1964-05-14,2023-12-29
451,60986,1989-04-27,2023-09-15
450,20204,1957-03-01,2004-12-17
449,24205,1976-07-01,2023-12-29
448,18921,1957-03-01,2000-05-04
447,13901,1957-03-01,2023-12-29
446,22592,1957-03-01,2023-12-29
445,42796,1968-05-23,2011-01-03
444,21207,1969-05-15,2023-12-29
443,40061,1967-02-23,2007-11-15
442,59707,1981-06-25,1991-04-01
441,47466,1984-11-23,2010-12-17
468,58480,1985-10-10,1996-12-18
469,27633,1982-12-30,2017-06-16
470,17806,1957-03-01,2007-03-19
471,19561,1957-03-01,2023-12-29
499,18163,1957-03-01,2023-12-29
498,39300,1988-05-12,1990-05-24
497,25013,1957-03-01,2009-11-03
496,34147,1980-11-20,1995-06-30
495,62308,1989-04-27,2023-12-29
494,24192,1976-07-01,1994-10-24
493,25022,1987-10-08,1993-12-10
492,42083,1971-03-04,2006-11-16
491,48071,1976-07-01,2000-12-29
490,42104,1989-07-20,2000-05-09
489,22840,1981-09-10,2012-06-28
488,42833,1989-03-16,1999-11-29
487,22293,1957-03-01,2023-12-29
440,13056,1989-10-05,2004-04-30
486,53612,1985-11-21,2001-06-29
484,30912,1988-12-22,1990-10-05
483,24184,1957-03-01,2002-01-31
482,38850,1974-05-09,1995-07-28
481,15472,1957-03-01,2008-10-06
480,34833,1982-12-09,2023-12-29
479,28118,1962-04-25,2000-06-02
478,26518,1986-05-08,2007-10-26
477,62252,1988-04-14,1998-12-21
476,25005,1957-03-01,1996-09-27
475,21186,1957-03-01,2023-12-29
474,19895,1957-03-01,2002-01-29
473,13354,1957-03-01,1993-09-30
472,58990,1978-05-04,2007-12-13
485,18032,1957-03-01,1995-12-12
251,51377,1976-12-09,2011-09-23
439,26542,1978-10-05,1996-12-11
437,31536,1973-11-15,1998-07-09
404,19721,1989-08-24,1996-08-15
403,45356,1989-07-27,2009-03-16
402,66026,1983-12-01,1997-03-31
401,24010,1957-03-01,2023-12-29
400,59176,1976-07-01,2023-12-29
399,22509,1957-03-01,2023-12-29
398,57817,1986-08-07,2020-06-19
397,63845,1988-10-06,1997-01-14
396,34841,1987-12-10,1996-08-15
395,49429,1986-10-02,2008-10-21
394,24942,1957-03-01,2020-04-03
393,11260,1928-11-26,1998-11-12
