PERMNO,from,thru
26825,1961-04-26,2023-12-29
46877,1975-06-12,2018-01-02
24109,1951-09-06,2023-12-29
25320,1957-03-01,2023-12-29
70519,1988-05-26,2023-12-29
48274,1989-08-03,2011-12-12
24766,1985-06-13,2023-12-29
44601,1987-12-24,2023-12-29
11308,1957-03-01,2023-12-29
47896,1976-07-01,2023-12-29
27959,1976-07-01,2023-12-29
48506,1979-12-27,2023-12-29
11703,1957-03-01,2017-08-31
68591,1989-12-01,2017-01-04
41355,1985-11-07,2023-12-29
23026,1957-07-10,2023-12-29
27887,1972-09-14,2023-12-29
66093,1983-12-01,2023-12-29
17478,1957-03-01,2023-12-29
61399,1984-03-01,2023-12-29
52038,1986-12-18,2023-12-29
22752,1957-03-01,2023-12-29
21792,1985-07-25,2023-12-29
57568,1984-10-04,2023-12-29
39538,1982-03-11,2019-06-06
39917,1963-12-05,2023-12-29
20626,1954-04-20,2017-08-31
22779,1957-03-01,2023-12-29
27983,1963-09-05,2021-03-19
14277,1965-03-04,2023-12-29
18542,1957-03-01,2023-12-29
16600,1957-03-01,2023-12-29
24221,1957-03-01,2012-03-13
23077,1957-03-01,2013-06-06
49154,1976-12-09,2023-12-29
42534,1986-05-08,2016-09-02
21178,1984-07-19,2023-12-29
14593,1982-11-18,2023-12-29
43449,1970-06-25,2023-12-29
25419,1959-04-01,2023-12-29
50876,1970-11-19,2023-12-29
52695,1981-05-14,2023-12-29
56573,1986-02-13,2023-12-29
60097,1986-10-23,2023-12-29
46674,1973-11-15,2023-12-29
15560,1973-03-01,2011-06-30
38156,1975-02-06,2023-12-29
17750,1957-03-01,2023-12-29
57665,1988-11-03,2023-12-29
40125,1981-05-14,2015-11-30
59010,1986-08-21,2022-02-02
70578,1989-01-12,2023-12-29
21573,1925-12-31,2023-12-29
21936,1957-03-01,2023-12-29
23819,1957-03-01,2023-12-29
36468,1964-05-14,2023-12-29
60986,1989-04-27,2023-09-15
24205,1976-07-01,2023-12-29
13901,1957-03-01,2023-12-29
22592,1957-03-01,2023-12-29
42796,1968-05-23,2011-01-03
21207,1969-05-15,2023-12-29
47466,1984-11-23,2010-12-17
27633,1982-12-30,2017-06-16
19561,1957-03-01,2023-12-29
18163,1957-03-01,2023-12-29
62308,1989-04-27,2023-12-29
22840,1981-09-10,2012-06-28
22293,1957-03-01,2023-12-29
34833,1982-12-09,2023-12-29
21186,1957-03-01,2023-12-29
51377,1976-12-09,2011-09-23
24010,1957-03-01,2023-12-29
59176,1976-07-01,2023-12-29
22509,1957-03-01,2023-12-29
57817,1986-08-07,2020-06-19
24942,1957-03-01,2020-04-03
22103,1965-01-07,2023-12-29
27828,1974-10-17,2023-12-29
24459,1957-03-01,2017-02-28
18411,1944-06-07,2023-12-29
15579,1959-03-25,2023-12-29
12060,1957-03-01,2023-12-29
34817,1985-04-18,2023-12-29
66181,1988-03-03,2023-12-29
12490,1957-03-01,2023-12-29
20220,1976-01-15,2010-03-12
54148,1984-04-12,2023-12-29
56274,1983-09-01,2023-12-29
23579,1978-10-05,2023-12-29
59192,1976-07-01,2016-01-15
22111,1973-05-31,2023-12-29
49373,1986-11-28,2020-09-18
25953,1985-10-24,2023-12-29
48725,1969-07-16,2023-12-29
19502,1979-10-11,2023-12-29
18403,1957-03-01,2013-11-29
21776,1944-06-07,2023-12-29
61241,1984-06-21,2013-09-20
60506,1980-10-02,2023-12-29
46578,1969-01-16,2023-12-29
10225,1925-12-31,2014-04-30
59248,1976-07-01,2023-12-29
41080,1965-01-07,2023-12-29
64311,1982-06-03,2023-12-29
11674,1925-12-31,2023-12-29
49015,1976-07-01,2023-09-15
52978,1984-09-13,2023-12-29
13928,1957-03-01,2023-12-29
66800,1980-02-14,2023-12-29
16678,1957-03-01,2023-12-29
17830,1957-03-01,2023-12-29
23931,1949-07-06,2023-12-29
52337,1979-02-08,2016-04-15
64282,1983-09-15,2023-12-29
43350,1982-09-16,2023-12-29
45495,1985-01-10,2014-08-18
43123,1978-10-26,2015-07-01
15069,1925-12-31,2023-12-29
26403,1976-07-01,2023-12-29
10145,1925-12-31,2023-12-29
17144,1969-02-13,2023-12-29
40416,1967-05-18,2015-03-20
43772,1978-07-20,2014-12-04
68144,1988-05-05,2019-12-06
19393,1957-03-01,2023-12-29
